movies	recommendation
" 
 Raging Bull (1980) 
 Clockwork Orange, A (1971) 
 2001: A Space Odyssey (1968) 
 North by Northwest (1959)"	
" 
 Die Hard 2 (1990) 
 Back to the Future (1985) 
 Indiana Jones and the Last Crusade (1989) 
 Pink Floyd - The Wall (1982)"	
" 
 Monty Python and the Holy Grail (1974) 
 Princess Bride, The (1987) 
 Fugitive, The (1993) 
 Rear Window (1954)"	
" 
 Toy Story (1995) 
  Silence of the Lambs, The (1991)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Boot, Das (1981) 
 Fargo (1996) 
 Dead Man Walking (1995) 
 Star Wars (1977)"	
" 
 Big Night (1996) 
  Lone Star (1996)"	
" 
 Lawrence of Arabia (1962) 
  Koyaanisqatsi (1983)"	
" 
 Independence Day (ID4) (1996) 
  Phenomenon (1996)"	
" 
 Ice Storm, The (1997) 
  In & Out (1997) 
  Liar Liar (1997)"	
" 
 Pretty Woman (1990) 
  I.Q. (1994)"	" 
 Mrs. Doubtfire (1993) 
 Speed (1994) 
 Jurassic Park (1993) 
 Aladdin (1992)"
" 
 Ice Storm, The (1997) 
 Fantasia (1940) 
 Lawrence of Arabia (1962) 
 Third Man, The (1949)"	
" 
 Michael (1996) 
 Silence of the Lambs, The (1991) 
 Sling Blade (1996) 
 Fried Green Tomatoes (1991)"	
" 
 Toy Story (1995) 
  Fantasia (1940) 
  Titanic (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 This Is Spinal Tap (1984) 
 Forrest Gump (1994) 
 Delicatessen (1991) 
 Cop Land (1997)"	
" 
 Pink Floyd - The Wall (1982) 
 Apocalypse Now (1979) 
 Princess Bride, The (1987) 
 Cook the Thief His Wife & Her Lover, The (1989)"	
" 
 Fallen (1998) 
 Midnight in the Garden of Good and Evil (1997) 
 Jackal, The (1997) 
 Air Force One (1997)"	
" 
 Diva (1981) 
 Cinema Paradiso (1988) 
 Belle de jour (1967) 
 Four Weddings and a Funeral (1994)"	
" 
 Mystery Science Theater 3000: The Movie (1996)"	
" 
 Patton (1970) 
 Boot, Das (1981) 
 Shining, The (1980) 
 Evil Dead II (1987)"	
" 
 Toy Story (1995) 
 One Flew Over the Cuckoo's Nest (1975) 
 Heavy Metal (1981) 
 Wizard of Oz, The (1939)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Close Shave, A (1995) 
 Wrong Trousers, The (1993) 
 Much Ado About Nothing (1993) 
 Hunt for Red October, The (1990)"	
" 
 Godfather, The (1972) 
  Remains of the Day, The (1993) 
  One Flew Over the Cuckoo's Nest (1975)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Jerry Maguire (1996) 
 Babe (1995) 
 Better Off Dead... (1985) 
 Field of Dreams (1989)"	" 
 Forrest Gump (1994)"
" 
 Lawrence of Arabia (1962) 
  Glory (1989) 
  Godfather, The (1972)"	
" 
 Good Will Hunting (1997) 
  Titanic (1997)"	" 
 American Beauty (1999) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Die Hard (1988) 
  Godfather, The (1972)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Terminator 2: Judgment Day (1991) 
 Back to the Future (1985)"
" 
 Grosse Pointe Blank (1997) 
 Star Wars (1977) 
 Titanic (1997) 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"	
" 
 Aliens (1986) 
 Rear Window (1954) 
 Contact (1997) 
 Fifth Element, The (1997)"	" 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Alien (1979) 
 Terminator 2: Judgment Day (1991)"
" 
 Terminator 2: Judgment Day (1991) 
  Princess Bride, The (1987) 
  Groundhog Day (1993)"	" 
 Jurassic Park (1993) 
 Braveheart (1995) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Short Cuts (1993) 
  Vertigo (1958)"	
" 
 Spitfire Grill, The (1996) 
  Phenomenon (1996) 
  Absolute Power (1997)"	
" 
 First Wives Club, The (1996) 
 Birdcage, The (1996) 
 Boot, Das (1981) 
 Sense and Sensibility (1995)"	
" 
 Toy Story (1995) 
 Raiders of the Lost Ark (1981) 
 Indiana Jones and the Last Crusade (1989) 
 Patton (1970)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Silence of the Lambs, The (1991) 
  Contact (1997)"	" 
 Pulp Fiction (1994)"
" 
 Toy Story (1995) 
 Conspiracy Theory (1997) 
 Raiders of the Lost Ark (1981) 
 Lost in Space (1998)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Alien (1979) 
  Mirror Has Two Faces, The (1996)"	" 
 Aliens (1986) 
 Terminator 2: Judgment Day (1991) 
 American Beauty (1999) 
 Star Wars: Episode VI - Return of the Jedi (1983)"
" 
 Saint, The (1997) 
  Seven Years in Tibet (1997)"	
" 
 House of Yes, The (1997) 
  Liar Liar (1997) 
  Ice Storm, The (1997)"	
" 
 Toy Story (1995) 
  Shall We Dance? (1937)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Men in Black (1997) 
 Jerry Maguire (1996) 
 Mother (1996) 
 Star Wars (1977)"	
" 
 Chinatown (1974) 
  Alien (1979)"	
" 
 Contact (1997) 
 Men in Black (1997) 
 Full Monty, The (1997) 
 Private Parts (1997)"	
" 
 Indiana Jones and the Last Crusade (1989) 
  Butch Cassidy and the Sundance Kid (1969)"	" 
 Indiana Jones and the Temple of Doom (1984) 
 Jurassic Park (1993) 
 Die Hard (1988) 
 Terminator, The (1984)"
" 
 Spitfire Grill, The (1996) 
  Courage Under Fire (1996)"	
" 
 Henry V (1989) 
 Blade Runner (1982) 
 L.A. Confidential (1997) 
 Man Who Would Be King, The (1975)"	
" 
 Swingers (1996) 
 Sleepers (1996) 
 My Best Friend's Wedding (1997) 
 Men in Black (1997)"	
" 
 Shawshank Redemption, The (1994) 
 Bram Stoker's Dracula (1992) 
 Adventures of Robin Hood, The (1938) 
 Lion King, The (1994)"	
" 
 To Kill a Mockingbird (1962) 
 Fugitive, The (1993) 
 Schindler's List (1993) 
 Glory (1989)"	
" 
 It's a Wonderful Life (1946) 
  2001: A Space Odyssey (1968)"	
" 
 Titanic (1997) 
 Gone with the Wind (1939) 
 Short Cuts (1993) 
 Rudy (1993)"	" 
 Matrix, The (1999)"
" 
 Toy Story (1995) 
  Psycho (1960)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Back to the Future (1985) 
 Kingpin (1996) 
 Toy Story (1995) 
 Very Brady Sequel, A (1996)"	" 
 Jurassic Park (1993) 
 Toy Story (1995) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Forrest Gump (1994)"
" 
 Butch Cassidy and the Sundance Kid (1969) 
 When Harry Met Sally... (1989) 
 Fish Called Wanda, A (1988) 
 Remains of the Day, The (1993)"	
" 
 Toy Story (1995) 
 Princess Bride, The (1987) 
 Ben-Hur (1959) 
 Great Escape, The (1963)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Bridges of Madison County, The (1995) 
  When Harry Met Sally... (1989)"	
" 
 Private Parts (1997) 
  Face/Off (1997) 
  Godfather, The (1972)"	
" 
 Wizard of Oz, The (1939) 
  Candidate, The (1972)"	" 
 Silence of the Lambs, The (1991) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Titanic (1997) 
  Saint, The (1997)"	" 
 Matrix, The (1999)"
" 
 187 (1997) 
 Kolya (1996) 
 Indian Summer (1996) 
 Contact (1997)"	
" 
 Speed (1994) 
 Forrest Gump (1994) 
 When Harry Met Sally... (1989) 
 Sling Blade (1996)"	" 
 Batman (1989) 
 True Lies (1994) 
 Jurassic Park (1993) 
 Aladdin (1992)"
" 
 Roman Holiday (1953)"	
" 
 Jurassic Park (1993) 
  Forrest Gump (1994) 
  Rock, The (1996)"	" 
 Terminator 2: Judgment Day (1991) 
 Fugitive, The (1993) 
 Braveheart (1995) 
 Forrest Gump (1994)"
" 
 Toy Story (1995) 
  Mr. Holland's Opus (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Jane Eyre (1996) 
  Incognito (1997) 
  Chasing Amy (1997)"	
" 
 Treasure of the Sierra Madre, The (1948) 
 Casablanca (1942) 
 Brazil (1985) 
 Stand by Me (1986)"	
" 
 Murder at 1600 (1997) 
  Titanic (1997) 
  Dante's Peak (1997)"	
" 
 It Happened One Night (1934) 
  Local Hero (1983) 
  Contact (1997)"	
" 
 Piano, The (1993) 
  Adventures of Priscilla, Queen of the Desert, The (1994)"	
" 
 Full Monty, The (1997) 
  Secrets & Lies (1996)"	
" 
 Until the End of the World (Bis ans Ende der Welt) (1991) 
 Dead Man Walking (1995) 
 Cop Land (1997) 
 Titanic (1997)"	
" 
 Toy Story (1995) 
 Back to the Future (1985) 
 Close Shave, A (1995) 
 Magnificent Seven, The (1954)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 2001: A Space Odyssey (1968) 
  Jaws (1975)"	" 
 Alien (1979) 
 Terminator 2: Judgment Day (1991) 
 Blade Runner (1982) 
 Fargo (1996)"
" 
 Grumpier Old Men (1995) 
  Homeward Bound II: Lost in San Francisco (1996) 
  Flipper (1996)"	
" 
 Rosewood (1997) 
  Cinema Paradiso (1988)"	
" 
 Being There (1979) 
  English Patient, The (1996)"	
" 
 Mrs. Brown (Her Majesty, Mrs. Brown) (1997) 
  English Patient, The (1996)"	
" 
 Full Monty, The (1997) 
  Godfather, The (1972) 
  Mother (1996)"	
" 
 Chasing Amy (1997) 
  Mrs. Brown (Her Majesty, Mrs. Brown) (1997)"	
" 
 Raising Arizona (1987) 
  Star Wars (1977)"	
" 
 Star Wars (1977) 
  My Best Friend's Wedding (1997)"	
" 
 Toy Story (1995) 
  Die xue shuang xiong (Killer, The) (1989)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Titanic (1997) 
  Raiders of the Lost Ark (1981)"	" 
 Matrix, The (1999)"
" 
 Jumanji (1995) 
 White Squall (1996) 
 Strictly Ballroom (1992) 
 Homeward Bound: The Incredible Journey (1993)"	" 
 Batman (1989) 
 True Lies (1994) 
 Speed (1994) 
 Jurassic Park (1993)"
" 
 Kolya (1996) 
 Antonia's Line (1995) 
 In & Out (1997) 
 Adventures of Priscilla, Queen of the Desert, The (1994)"	
" 
 Liar Liar (1997) 
 Event Horizon (1997) 
 Scream (1996) 
 Edge, The (1997)"	
" 
 In the Line of Fire (1993) 
 Much Ado About Nothing (1993) 
 Godfather, The (1972) 
 2001: A Space Odyssey (1968)"	" 
 Fugitive, The (1993)"
" 
 Titanic (1997) 
  Silence of the Lambs, The (1991)"	" 
 Matrix, The (1999)"
" 
 Godfather, The (1972) 
 Pulp Fiction (1994) 
 Boot, Das (1981) 
 Willy Wonka and the Chocolate Factory (1971)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Princess Bride, The (1987) 
 Monty Python and the Holy Grail (1974) 
 Willy Wonka and the Chocolate Factory (1971) 
 Men in Black (1997)"	" 
 Back to the Future (1985) 
 Star Wars: Episode VI - Return of the Jedi (1983) 
 Matrix, The (1999) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)"
" 
 Godfather, The (1972) 
  Shining, The (1980)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Contact (1997) 
  Close Shave, A (1995)"	
" 
 Toy Story (1995) 
 Wedding Singer, The (1998) 
 Balto (1995) 
 Lawnmower Man, The (1992)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Rock, The (1996) 
 Godfather, The (1972) 
 Liar Liar (1997) 
 Return of the Jedi (1983)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Mission: Impossible (1996) 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991)"
" 
 Braveheart (1995) 
 Rosencrantz and Guildenstern Are Dead (1990) 
 Monty Python and the Holy Grail (1974) 
 Reservoir Dogs (1992)"	" 
 Jurassic Park (1993) 
 Terminator 2: Judgment Day (1991) 
 Pulp Fiction (1994)"
" 
 This Is Spinal Tap (1984) 
  Shallow Grave (1994)"	
" 
 English Patient, The (1996) 
 Close Shave, A (1995) 
 Star Wars (1977) 
 Twelve Monkeys (1995)"	
" 
 Sense and Sensibility (1995) 
 Rebecca (1940) 
 Dead Poets Society (1989) 
 Amadeus (1984)"	
" 
 Dead Poets Society (1989) 
 Wallace & Gromit: The Best of Aardman Animation (1996) 
 Star Trek: The Wrath of Khan (1982) 
 Sling Blade (1996)"	" 
 Forrest Gump (1994)"
" 
 Time to Kill, A (1996) 
 Courage Under Fire (1996) 
 Twister (1996) 
 Independence Day (ID4) (1996)"	
" 
 Secrets & Lies (1996) 
 Boogie Nights (1997) 
 Chasing Amy (1997) 
 It's a Wonderful Life (1946)"	
" 
 Fifth Element, The (1997) 
  Empire Strikes Back, The (1980)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Men in Black (a.k.a. MIB) (1997) 
 X-Men (2000) 
 Jurassic Park (1993)"
" 
 Cinderella (1950) 
  Shallow Grave (1994) 
  Amadeus (1984)"	
" 
 Toy Story (1995) 
  In & Out (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 All About Eve (1950) 
 Dial M for Murder (1954) 
 Quiet Man, The (1952) 
 Field of Dreams (1989)"	
" 
 Prophecy II, The (1998) 
 Half Baked (1998) 
 Sphere (1998) 
 Kull the Conqueror (1997)"	
" 
 Sweet Hereafter, The (1997) 
 Apostle, The (1997) 
 Wag the Dog (1997) 
 Ulee's Gold (1997)"	
" 
 Abyss, The (1989) 
  Star Trek III: The Search for Spock (1984)"	
" 
 Wrong Trousers, The (1993) 
 Piano, The (1993) 
 English Patient, The (1996) 
 Big Lebowski, The (1998)"	
" 
 English Patient, The (1996) 
  Kiss the Girls (1997) 
  Chasing Amy (1997)"	
" 
 Evita (1996) 
  Usual Suspects, The (1995)"	
" 
 Swingers (1996) 
  Toy Story (1995)"	
" 
 Rear Window (1954) 
 Indiana Jones and the Last Crusade (1989) 
 Star Wars (1977) 
 Monty Python and the Holy Grail (1974)"	" 
 Silence of the Lambs, The (1991) 
 Godfather, The (1972)"
" 
 Shawshank Redemption, The (1994) 
  Mission: Impossible (1996)"	
" 
 Air Force One (1997) 
  Jerry Maguire (1996)"	
" 
 Indiana Jones and the Last Crusade (1989) 
 My Life as a Dog (Mitt liv som hund) (1985) 
 Princess Bride, The (1987) 
 Empire Strikes Back, The (1980)"	" 
 Indiana Jones and the Temple of Doom (1984) 
 Jurassic Park (1993) 
 Die Hard (1988) 
 Terminator, The (1984)"
" 
 Raising Arizona (1987) 
  English Patient, The (1996)"	
" 
 Rocket Man (1997) 
  Welcome To Sarajevo (1997) 
  Tango Lesson, The (1997)"	
" 
 Independence Day (ID4) (1996) 
 Air Force One (1997) 
 Contact (1997) 
 Dragonheart (1996)"	
" 
 Titanic (1997) 
  In the Name of the Father (1993) 
  Monty Python and the Holy Grail (1974)"	" 
 Matrix, The (1999)"
" 
 Leaving Las Vegas (1995) 
 Fargo (1996) 
 Good Will Hunting (1997) 
 Welcome to the Dollhouse (1995)"	
" 
 Army of Darkness (1993) 
 Magnificent Seven, The (1954) 
 Terminator, The (1984) 
 Amadeus (1984)"	
" 
 In & Out (1997) 
  Devil's Advocate, The (1997)"	
" 
 Strictly Ballroom (1992) 
 Sabrina (1995) 
 My Best Friend's Wedding (1997) 
 Forget Paris (1995)"	
" 
 Contact (1997) 
  Tin Cup (1996) 
  L.A. Confidential (1997)"	
" 
 Monty Python's Life of Brian (1979) 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Arsenic and Old Lace (1944)"	" 
 Monty Python and the Holy Grail (1975) 
 Pulp Fiction (1994)"
" 
 Little Princess, A (1995) 
 White Squall (1996) 
 Sense and Sensibility (1995) 
 Toy Story (1995)"	
" 
 Star Trek: First Contact (1996) 
  Star Trek V: The Final Frontier (1989)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Four Days in September (1997) 
  English Patient, The (1996)"	
" 
 Living in Oblivion (1995) 
 Field of Dreams (1989) 
 Hard Eight (1996) 
 Ridicule (1996)"	
" 
 Crumb (1994) 
  Back to the Future (1985)"	
" 
 Sunset Blvd. (1950) 
 It Happened One Night (1934) 
 12 Angry Men (1957) 
 Good Will Hunting (1997)"	
" 
 Kolya (1996) 
 Shawshank Redemption, The (1994) 
 Room with a View, A (1986) 
 Night on Earth (1991)"	
" 
 E.T. the Extra-Terrestrial (1982) 
  Men in Black (1997) 
  Bridge on the River Kwai, The (1957)"	" 
 Men in Black (a.k.a. MIB) (1997) 
 Jurassic Park (1993) 
 Terminator, The (1984) 
 Toy Story (1995)"
" 
 Citizen Kane (1941) 
 Bridge on the River Kwai, The (1957) 
 Raging Bull (1980) 
 Laura (1944)"	
" 
 Some Folks Call It a Sling Blade (1993) 
 Godfather, The (1972) 
 L.A. Confidential (1997) 
 People vs. Larry Flynt, The (1996)"	
" 
 Fargo (1996) 
 Leaving Las Vegas (1995) 
 Bottle Rocket (1996) 
 Angels and Insects (1995)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Toy Story (1995) 
 Jurassic Park (1993) 
 Aristocats, The (1970) 
 Father of the Bride Part II (1995)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Swingers (1996) 
 Star Wars (1977) 
 Leaving Las Vegas (1995) 
 Emma (1996)"	
" 
 Toy Story (1995) 
  Mystery Science Theater 3000: The Movie (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Con Air (1997) 
  Rumble in the Bronx (1995)"	
" 
 Apostle, The (1997) 
 Wag the Dog (1997) 
 Good Will Hunting (1997) 
 Rainmaker, The (1997)"	
" 
 Chasing Amy (1997) 
 Contact (1997) 
 In the Company of Men (1997) 
 Everyone Says I Love You (1996)"	
" 
 Titanic (1997) 
  Scream (1996)"	" 
 Matrix, The (1999)"
" 
 Boogie Nights (1997) 
  Clockwork Orange, A (1971)"	
" 
 Casablanca (1942) 
 My Fair Lady (1964) 
 Duck Soup (1933) 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"	" 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981) 
 Star Wars: Episode V - The Empire Strikes Back (1980)"
" 
 Doors, The (1991) 
 Raising Arizona (1987) 
 M*A*S*H (1970) 
 When Harry Met Sally... (1989)"	
" 
 Toy Story (1995) 
 Jumanji (1995) 
 Stargate (1994) 
 Shawshank Redemption, The (1994)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Godfather, The (1972) 
 Hate (Haine, La) (1995) 
 Bottle Rocket (1996) 
 Trainspotting (1996)"	" 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999) 
 Star Wars: Episode V - The Empire Strikes Back (1980) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Amistad (1997) 
 Twisted (1996) 
 Air Force One (1997) 
 Face/Off (1997)"	
" 
 Good Will Hunting (1997) 
  Full Monty, The (1997)"	" 
 American Beauty (1999) 
 Silence of the Lambs, The (1991) 
 Forrest Gump (1994) 
 Matrix, The (1999)"
" 
 Dances with Wolves (1990) 
  Dead Poets Society (1989) 
  On Golden Pond (1981)"	" 
 Batman (1989) 
 True Lies (1994) 
 Jurassic Park (1993) 
 Apollo 13 (1995)"
" 
 Annie Hall (1977) 
 Four Weddings and a Funeral (1994) 
 Up Close and Personal (1996) 
 Twelve Monkeys (1995)"	
" 
 Pulp Fiction (1994) 
 Reservoir Dogs (1992) 
 Star Wars (1977) 
 Contact (1997)"	" 
 Silence of the Lambs, The (1991)"
" 
 English Patient, The (1996) 
 Everyone Says I Love You (1996) 
 Scream (1996) 
 Hugo Pool (1997)"	
" 
 As Good As It Gets (1997) 
  Contact (1997) 
  Pulp Fiction (1994)"	
" 
 Dead Poets Society (1989) 
 Die Hard (1988) 
 Philadelphia (1993) 
 Walk in the Clouds, A (1995)"	" 
 Forrest Gump (1994)"
" 
 Toy Story (1995) 
  Magnificent Seven, The (1954) 
  Secrets & Lies (1996)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Amadeus (1984) 
 Bridge on the River Kwai, The (1957) 
 Treasure of the Sierra Madre, The (1948) 
 Great Escape, The (1963)"	
" 
 Toy Story (1995) 
  Bullets Over Broadway (1994)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Empire Strikes Back, The (1980) 
 Mr. Smith Goes to Washington (1939) 
 Princess Bride, The (1987) 
 Happy Gilmore (1996)"	
" 
 Return of the Jedi (1983) 
  Grosse Pointe Blank (1997)"	
" 
 L.A. Confidential (1997) 
 Titanic (1997) 
 Good Will Hunting (1997) 
 Evita (1996)"	" 
 American Beauty (1999) 
 Fargo (1996) 
 Silence of the Lambs, The (1991) 
 Matrix, The (1999)"
" 
 Much Ado About Nothing (1993) 
 Sting, The (1973) 
 Butch Cassidy and the Sundance Kid (1969) 
 Contact (1997)"	
" 
 Star Wars (1977) 
 L.A. Confidential (1997) 
 Scream (1996) 
 Rear Window (1954)"	
" 
 Star Wars (1977) 
 It Happened One Night (1934) 
 Graduate, The (1967) 
 39 Steps, The (1935)"	
" 
 Titanic (1997) 
  Full Monty, The (1997) 
  English Patient, The (1996)"	" 
 Matrix, The (1999)"
" 
 M*A*S*H (1970) 
 Streetcar Named Desire, A (1951) 
 Killing Fields, The (1984) 
 To Kill a Mockingbird (1962)"	
" 
 Dead Poets Society (1989) 
  Natural Born Killers (1994)"	" 
 Forrest Gump (1994)"
" 
 Toy Story (1995) 
 Dave (1993) 
 Up Close and Personal (1996) 
 Donnie Brasco (1997)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Until the End of the World (Bis ans Ende der Welt) (1991) 
 Babe (1995) 
 Breaking the Waves (1996) 
 Wings of Desire (1987)"	
" 
 Midnight in the Garden of Good and Evil (1997) 
 Braveheart (1995) 
 Titanic (1997) 
 Contact (1997)"	
" 
 She's the One (1996) 
 English Patient, The (1996) 
 Liar Liar (1997) 
 Seven Years in Tibet (1997)"	
" 
 Empire Strikes Back, The (1980) 
  C'est arrivé près de chez vous (1992)"	
" 
 Titanic (1997) 
 Fast, Cheap & Out of Control (1997) 
 Good Will Hunting (1997) 
 Welcome To Sarajevo (1997)"	" 
 Matrix, The (1999)"
" 
 As Good As It Gets (1997) 
 Empire Strikes Back, The (1980) 
 Starship Troopers (1997) 
 Wallace & Gromit: The Best of Aardman Animation (1996)"	
" 
 Mission: Impossible (1996) 
  Twister (1996)"	" 
 Independence Day (a.k.a. ID4) (1996) 
 Jurassic Park (1993) 
 Toy Story (1995) 
 Terminator 2: Judgment Day (1991)"
" 
 Birds, The (1963) 
 North by Northwest (1959) 
 Great Race, The (1965) 
 Princess Bride, The (1987)"	
" 
 Manchurian Candidate, The (1962) 
 Arsenic and Old Lace (1944) 
 Singin' in the Rain (1952) 
 Rear Window (1954)"	
" 
 Seven (Se7en) (1995) 
 English Patient, The (1996) 
 Blues Brothers, The (1980) 
 Alien (1979)"	
" 
 Strange Days (1995) 
 Empire Strikes Back, The (1980) 
 Aliens (1986) 
 Silence of the Lambs, The (1991)"	
" 
 Celluloid Closet, The (1995) 
  Cold Comfort Farm (1995)"	
" 
 Graduate, The (1967) 
 Mr. Smith Goes to Washington (1939) 
 Manhattan Murder Mystery (1993) 
 Streetcar Named Desire, A (1951)"	
" 
 Titanic (1997) 
 Star Trek: First Contact (1996) 
 Star Trek: The Wrath of Khan (1982) 
 Contact (1997)"	" 
 Matrix, The (1999)"
" 
 Seven (Se7en) (1995) 
 Saint, The (1997) 
 Empire Strikes Back, The (1980) 
 Ghost in the Shell (Kokaku kidotai) (1995)"	
" 
 Antonia's Line (1995) 
 Contact (1997) 
 Angels and Insects (1995) 
 Full Monty, The (1997)"	
" 
 Toy Story (1995) 
  Braveheart (1995) 
  E.T. the Extra-Terrestrial (1982)"	" 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Emma (1996) 
 Mr. Holland's Opus (1995) 
 Matilda (1996) 
 Star Wars (1977)"	
" 
 Amadeus (1984) 
 Room with a View, A (1986) 
 Taxi Driver (1976) 
 This Is Spinal Tap (1984)"	
" 
 Chasing Amy (1997) 
  Fearless (1993)"	
" 
 Men in Black (1997) 
 Big Lebowski, The (1998) 
 Schindler's List (1993) 
 Annie Hall (1977)"	
" 
 Mystery Science Theater 3000: The Movie (1996) 
 Star Trek: The Wrath of Khan (1982) 
 Star Trek IV: The Voyage Home (1986) 
 Star Wars (1977)"	
" 
 Silence of the Lambs, The (1991) 
  Shawshank Redemption, The (1994)"	" 
 Pulp Fiction (1994)"
" 
 Pulp Fiction (1994) 
  Silence of the Lambs, The (1991) 
  Happy Gilmore (1996)"	" 
 Silence of the Lambs, The (1991)"
" 
 Reservoir Dogs (1992) 
  Seven (Se7en) (1995)"	" 
 Sixth Sense, The (1999) 
 Alien (1979) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999)"
" 
 Empire Strikes Back, The (1980) 
 Usual Suspects, The (1995) 
 Star Wars (1977) 
 One Flew Over the Cuckoo's Nest (1975)"	
" 
 Graduate, The (1967) 
  Usual Suspects, The (1995)"	
" 
 Full Monty, The (1997) 
  Kolya (1996)"	
" 
 Star Wars (1977) 
  Air Force One (1997)"	
" 
 Big Lebowski, The (1998) 
  Boogie Nights (1997)"	" 
 Truman Show, The (1998) 
 Seven (a.k.a. Se7en) (1995) 
 American Beauty (1999) 
 Lord of the Rings: The Fellowship of the Ring, The (2001)"
" 
 Terminator 2: Judgment Day (1991) 
  Annie Hall (1977) 
  Hoop Dreams (1994)"	" 
 Jurassic Park (1993) 
 Braveheart (1995) 
 Star Wars: Episode IV - A New Hope (1977)"
" 
 Sense and Sensibility (1995) 
  Fargo (1996)"	
" 
 Mr. Smith Goes to Washington (1939) 
 Braveheart (1995) 
 Princess Bride, The (1987) 
 Maverick (1994)"	
" 
 Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963) 
  Thin Man, The (1934)"	
" 
 Fargo (1996) 
  L.A. Confidential (1997) 
  Godfather, The (1972)"	" 
 Silence of the Lambs, The (1991) 
 Pulp Fiction (1994) 
 Star Wars: Episode IV - A New Hope (1977) 
 Usual Suspects, The (1995)"
" 
 Star Wars (1977) 
 Swingers (1996) 
 Mystery Science Theater 3000: The Movie (1996) 
 Godfather, The (1972)"	
" 
 Sneakers (1992) 
 Clerks (1994) 
 Mystery Science Theater 3000: The Movie (1996) 
 Akira (1988)"	
" 
 Breakfast at Tiffany's (1961) 
 Sling Blade (1996) 
 Dead Poets Society (1989) 
 Good Will Hunting (1997)"	
" 
 Fugitive, The (1993) 
 Murder in the First (1995) 
 Die Hard 2 (1990) 
 Die xue shuang xiong (Killer, The) (1989)"	" 
 Batman (1989) 
 True Lies (1994) 
 Jurassic Park (1993) 
 Apollo 13 (1995)"
" 
 Cop Land (1997) 
 Apt Pupil (1998) 
 Lost Highway (1997) 
 Gattaca (1997)"	
